Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
12/08/2021;4461,4;4468,8;4460,3;4468;28,46;12080;66,16;4340,77;4020,88;4421,65;46,35
15/08/2021;4454,2;4479,7;4438,5;4479,2;27,8;25484;67,73;4346,2;4025,44;4426,6;52,6
16/08/2021;4461,4;4463,7;4417;4448,5;30,14;43780;59,58;4350,21;4029,65;4429,42;19,08
17/08/2021;4449,2;4453,8;4397,2;4399,2;32,13;36074;49,32;4352,14;4033,32;4426,52;-27,32
18/08/2021;4365,8;4419;4352,2;4407;33,93;72730;50,76;4354,29;4037,04;4423,36;-16,36
19/08/2021;4392,7;4444,2;4376;4440,4;35,85;42524;56,48;4357,66;4041,06;4424,83;15,57
22/08/2021;4456,8;4489,1;4448,8;4478,6;35,72;22102;61,93;4362,41;4045,41;4427,15;51,45
23/08/2021;4494;4494,5;4480,3;4486,3;35,14;19248;62,94;4367,27;4049,8;4429,28;57,02
24/08/2021;4485,8;4501,8;4481,9;4497;34,59;17350;64,35;4372,35;4054,25;4431,42;65,58
25/08/2021;4488,9;4496,7;4469;4470,3;35,44;37120;58,37;4376,19;4058,39;4433,88;36,42
26/08/2021;4481,9;4513,3;4477,4;4508,8;37,43;22242;63,62;4381,39;4062,87;4436,61;72,19
29/08/2021;4510,9;4537,5;4509,1;4528,5;38,24;11516;65,98;4387,16;4067,5;4438,31;90,19
30/08/2021;4542;4542,7;4515,8;4523,3;38,58;28512;64,79;4392,5;4072,04;4442,05;81,25
31/08/2021;4540,9;4542,2;4521,8;4523,3;38,21;18136;64,79;4397,63;4076,53;4523,3;0
01/09/2021;4525,9;4545,8;4524,8;4537;39,21;18002;66,63;4403,1;4081,11;4530,12;6,88
02/09/2021;4545,2;4551,1;4521,3;4535,6;38,4;24144;66,25;4408,29;4085,63;4532,32;3,28
05/09/2021;4540,8;4549,4;4539,8;4546,1;34,94;5133;67,75;4413,7;4090,21;4533,4;12,7
06/09/2021;4540,3;4541,5;4512,6;4520,8;33,29;20934;60,76;4417,9;4094,5;4530,34;-9,54
07/09/2021;4516,4;4522,7;4493,5;4513,5;30,61;39546;58,87;4421,65;4098,67;4525,05;-11,55
08/09/2021;4493,9;4530;4486,6;4492,2;28,84;35286;53,64;4424,41;4102,58;4517,86;-25,66
09/09/2021;4504,9;4519;4458;4459;29,71;36030;46,67;4425,77;4106,13;4507,11;-48,11
12/09/2021;4476,4;4494;4445,1;4469,6;32,07;53946;48,95;4427,49;4109,75;4499,05;-29,45
13/09/2021;4468,6;4488,4;4434,5;4443,5;34,5;38550;43,97;4428,12;4113,07;4491,66;-48,16
14/09/2021;4451,5;4487,2;4436,6;4481,5;36,11;32346;51,68;4430,21;4116,73;4490,64;-9,14
15/09/2021;4477,4;4486,6;4443,3;4473,6;36,14;33638;50,14;4431,91;4120,28;4489,03;-15,43
16/09/2021;4479,5;4482,5;4427,8;4432,5;37,99;44736;42,94;4431,93;4123,39;4482,71;-50,21
19/09/2021;4387,7;4393,4;4305,3;4358,2;45,16;82906;33,57;4429,04;4125,73;4461,35;-103,15
20/09/2021;4381,3;4406,6;4347,4;4353,9;47,93;67096;33,12;4426,1;4128;4448,26;-94,36
21/09/2021;4377,3;4416,6;4366,3;4395,6;50,8;52892;41,34;4424,9;4130,66;4443,64;-48,04
